SMILES,CP
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1445.61
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,1450.01
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,1461.99
*C(OC(F)(F)F)C(*)(F)F,1472.12
*C(F)C(*)(F)OC(F)(F)F,1472.12
*C(F)(F)C(*)(F)OC(F)(F)F,1454.2
*CC(*)OCC(C)(C)CC,1796.69
*CC(*)SC,1353.91
*CC(*)OCCCCCCCC,1790.73
*CC(*)OCCC,1777.2
*CC(*)(F)C(C)=O,1482.86
*CC(*)C(=O)c1ccccc1,1237.65
*CC(*)C(=O)c1ccc(Br)c(OC)c1,1208.44
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,1430.91
*CC(*)C(=O)c1ccc(Cl)cc1,1102.43
*CC(*)C(=O)c1ccc(CC)cc1,1357.31
*CC(*)C(=O)c1ccc(C(C)C)cc1,1395.5
*CC(*)C(=O)c1ccc(OC)cc1,1344.68
*CC(*)C(=O)c1ccc(C)c(C)c1,1389.71
*CC(*)C(=O)c1ccc(CCC)cc1,1393.54
*CC(*)C(=O)c1ccc(C)cc1,1314.13
*CC(*)OC(=O)c1ccccc1OC(C)=O,1300.4
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,1300.4
*CC(*)OC(=O)CCCC(=O)c1ccccc1,1342.45
*CC(*)OC(=O)c1cccc(Br)c1,1133.96
*CC(*)OC(=O)c1ccc(Br)cc1,1133.96
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,1361.11
*CC(*)OC(=O)c1ccccc1Cl,1129.93
*CC(*)OC(=O)c1cccc(Cl)c1,1129.93
*CC(*)OC(=O)c1ccc(Cl)cc1,1129.93
*CC(*)OC(=O)C1CCCCC1,1533.51
*CC(*)OC(=O)CC1CCCCC1,1556.34
*CC(*)OC(=O)CCCC1CCCCC1,1592.22
*CC(*)OC(=O)c1ccc(OCC)cc1,1384.4
*CC(*)OC(=O)c1ccc(CC)cc1,1362.67
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,1680.52
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,1426.54
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1398.21
*CC(*)NC(=O)OC(C)(C)C,1544.64
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1431.86
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1429.36
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1430.89
*CC(*)OC(=O)C(F)(F)C(F)(F)F,1424.02
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1428.19
*CC(*)OC(=O)c1ccncc1,1203.65
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1397.24
