SMILES,ALPHA
*CCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,44.938
*CCCCCCCCCCOCCCCCCCCCCOCCCCO*,45.184
*c1cc(CCCCCCCCCCCCCCCCCCCCCC)c(*)s1,47.91
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)cc1)C2=O,59.991
*c1cccc(-c2cc(CCCCCCCCCCCCCCCC)cc(*)c2N)c1N,52.353
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N*,45.448
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,51.898
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCCCCCC(*)=O)c(C)c2)cc1C,52.798
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3ncnc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)n3)c1)C2=O,69.849
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(N)nc(Nc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)n3)c1)C2=O,70.357
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Cc3ccc(Cc4cccc(N5C(=O)c6ccc(*)cc6C5=O)c4)cc3)c1)C2=O,68.763
*S*,1.923
*C(*)F,2.288
*C(*)O,2.865
*C(*)(F)F,2.399
*C(*)(F)Cl,4.031
*C(*)(C#N)C#N,6.001
*SC(*)=S,8.005
*N=P(*)=S,7.583
*C#C/C=C/*,7.151
*C#C/C=C/*,7.151
*CC(*)=C,5.708
*O[SiH](*)C,6.271
*CSS*,7.875
*/C=C(/*)C,5.708
*OC([2H])([2H])C(*)([2H])[2H],4.636
*c1sc(*)c([2H])c1[2H],9.109
*N=P(*)(F)F,4.618
*CC(=O)O*,4.785
*CCO*,4.636
*c1csc(*)c1,9.109
*c1ccc(*)s1,9.109
*c1cnc(*)s1,8.361
