SMILES,TD
*CC(C)(C)CS(=O)(=O)CC(C)(C)COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,1.65
*CC(C)C(*)(C)C,1.57
*CC(C)S(*)(=O)=O,1.23
*CC(C)S/C(=N\c1ccccc1)S*,1.35
*CC(CC(*)(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)CC)cc1,1.65
*CC(CC(*)(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)CCC)cc1,1.41
*CC(CC(*)(C#N)C#N)(OC(C)=O)c1ccc(OC(=O)OC)cc1,1.24
*CC(CC(*)(C#N)C#N)(OC(C)=O)c1ccc(OC(C)=O)cc1,1.26
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,1.48
*CC(CC)(C(=O)O*)c1ccccc1,1.3
*CC(CCl)(CCl)COC(=O)c1ccccc1C(=O)O*,0.902
*CC(CCl)(CCl)O*,0.825
*CC(COc1c(C)cccc1C)O*,1.53
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,1.29
*CC(COc1ccc(-c2ccccc2)cc1)O*,1.72
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,1.53
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CCl,1.57
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,1.72
*CC(COc1ccc(Cl)cc1)O*,1.37
*CC(COc1cccc(C)c1)O*,1.52
*CC(COc1ccccc1)O*,1.37
*CC(COc1ccccc1C(C)C)O*,1.44
*CC(COc1ccccc1C)O*,1.68
*CC(COc1ccccc1Cl)O*,1.24
*CC(NC=O)C(c1ccccc1)C(*)(C#N)C(=O)OC,1.17
*CC(O)COC(=O)CCCCCCCCC(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.8
*CC(O)COC(=O)CCCCCCCCCCC(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.75
*CC(O)COC(C/C=C/C(OCC(O)COC(c1cccc(C(O*)(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.556
*CC(O)COc1c(C)cc(C(C)(C)c2cc(C)c(O*)c(C)c2)cc1C,1.66
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,1.19
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,1.43
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,1.93
*CC(c1ccccc1)C(C(=O)O)C(*)C(=O)OCCCCCCCC,1.47
*CC(c1ccccc1)C(C(=O)O)C(*)C(=O)OCCCCCCCCCCCCCC,1.9
*CC(c1ccccc1)C(C(=O)O)C(*)C(=O)OCCCCCCCCCCCCCCCCCC,1.9
*CC(c1ccccc1)S(*)(=O)=O,1.15
*CC/C=C(/*)c1ccccc1,1.74
*CC1(*)CCC(C)CC1,1.3
*CC1(*)CCCCC1,1.09
*CC1CCC(*)C1,2.28
*CC1CCC(CNC(=O)CCCCC(=O)N*)CC1,2.16
*CC1CCC(CNC(=O)CCCCCCC(=O)N*)CC1,2.33
*CC1CCC(CNC(=O)CCCCCCCC(=O)N*)CC1,1.93
*CC1CCC(COC(=O)CCCC(=O)O*)CC1,1.26
*CC1CCC(COC(=O)CCCCCC(=O)O*)CC1,1.69
*CC1CCC(COC(=O)CCCCCCCC(=O)O*)CC1,1.6
*CC1CCC(COC(=O)CCCCCCCCC(=O)O*)CC1,1.92
*CC1CCC(COC(=O)c2cccc(C(=O)O*)c2)CC1,1.28
*CCC(*)(C)C,1.47
*CCC(C)CC(CC)CNC(=O)c1ccc(C(=O)N*)cc1,1.81
*CCC(Cl)C(*)Cl,1.29
*CCC([2H])C(*)([2H])C,2.4
*CCC/C=C(/*)c1ccc(Cl)cc1,1.41
*CCC/C=C(/*)c1ccc(OC)cc1,1.79
*CCC/C=C(/*)c1ccccc1,1.61
*CCC1CC(*)C2C3CCC(C3)C12,1.85
*CCC1CCC(*)C1,2.61
*CCCC(*)(C)C(=O)O,1.38
*CCCC(*)(C)CC,1.72
*CCCC(=O)NCCCCCCNC(=O)CCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,2.33
*CCCC(=O)NCCCCCCNC(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,1.7
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,1.81
*CCCCC(=O)OCCCCCCOC(=O)c1ccc(O*)cc1,1.56
